ACCOUNT #,METER CAPACITY
01001N030600,4
01001N031500,5
01001N031800,4
01001N032000,4
01001N032500,5
01001N035000,5
01001N039000,4
01001N039500,5
01001N067000,4
01001N085000,5
01001N117000,5
01001N119000,4
01001N120000,4
01001N120500,4
01001N157000,4
01001N158000,5
01001N166000,4
01001N167000,5
01001N170500,4
01001N172500,4
01001N177000,4
01001N178000,4
01001N185500,5
01001N200000,4
01001N229000,4
01001N238500,4
01001N242100,4
01001N246000,4
01001N246500,5
01001N248000,5
01001N249000,4
01001N251000,4
01001N252600,4
01001N253500,4
01001N254500,4
01002N002500,4
01002N005500,4
01002N006000,4
01002N009000,4
01002N009500,4
01002N010000,4
01002N011000,4
01002N012000,4
01002N012500,4
01002N013000,4
01002N013500,4
01002N016000,4
01002N021500,4
01002N022000,4
01002N022500,4
01002N023500,4
01002N024000,4
01002N024500,4
01002N025000,4
01002N026000,4
01002N026500,4
01002N028500,4
01002N029000,4
01002N029500,4
01002N030000,4
01002N030500,4
01002N031000,4
01002N031500,4
01002N045000,4
01002N045500,4
01002N046000,4
01002N050500,4
01002N051000,4
01002N051500,4
01002N052000,4
01002N053000,4
01002N053500,4
01002N067000,4
01002N067500,4
01002N068000,4
01002N068500,4
01002N070000,4
01002N070500,4
01002N071000,4
01002N071500,4
01002N072500,4
01002N073000,4
01002N073500,4
01002N074100,4
01002N076000,4
01002N082000,4
01002N084000,5
01002N086000,4
01002N086500,4
01002N087000,4
01002N087500,4
01002N089000,4
01002N089500,4
01002N093000,4
01002N093500,4
01002N094000,4
01002N094500,4
01002N095000,4
01002N095500,4
01002N107500,4
01002N108500,5
01002N108501,4
01002N110500,4
01002N114000,4
01002N115500,4
01002N116500,4
01002N117500,4
01002N118000,4
01002N124000,4
01002N126000,4
01003N000500,5
01003N000501,5
01003N001000,4
01003N002500,4
01003N004000,4
01003N014500,4
01003N018500,4
01003N020000,5
01003N020500,4
01003N033500,4
01003N034500,4
01003N035000,4
01003N035500,4
01003N043000,5
01003N050000,5
01003N050100,5
01003N056000,5
01003N056100,4
01003N058000,4
01003N060500,4
01003N065000,4
01003N066100,5
01003N066500,4
01003N068000,4
01003N068500,4
01003N070000,4
01003N075000,4
01003N077100,4
01003N085000,4
01003N087000,4
01003N097000,4
01003N098000,4
01003N110000,4
01003N112500,4
01003N113000,4
01003N114000,4
01003N121000,4
01003N121500,4
01003N127000,4
01003N128000,4
01003N128500,4
01003N129000,4
01003N129500,4
01003N130000,4
01003N130500,4
01003N131500,4
01003N133000,4
01003N134500,4
01003N135000,4
01003N135500,4
01003N136000,4
01003N136500,4
01003N137000,4
01003N137500,4
01003N138000,4
01003N139500,4
01003N140000,4
01003N141500,4
01003N142000,4
01003N142500,4
01003N144000,4
01003N144500,4
01003N145000,4
01003N145500,4
01003N146500,4
01003N147000,4
01003N147500,4
01003N148000,4
01003N149000,4
01003N149500,4
01003N150000,4
01003N150500,4
01003N151000,4
01003N152100,5
01003N152500,4
01003N153500,4
01003N153400,4
01003N154500,4
01003N155000,4
01003N156000,4
01003N156500,4
01003N157000,4
01003N158500,4
01003N160500,4
01003N165500,4
01003N167000,4
01003N171000,5
01003N172500,4
01003N173500,4
01003N176000,4
01003N177000,4
01003N178000,4
01003N184500,4
01003N186500,4
01003N187000,4
01003N189500,4
01004N000500,4
01004N003000,5
01004N006000,4
01004N006500,4
01004N008500,4
01004N012500,4
01004N013000,4
01004N014500,4
01004N015500,5
01004N019500,4
01004N022500,4
01004N024500,4
01004N025500,3
01004N027000,4
01004N028000,4
01004N031000,4
01004N032000,3
01004N033500,4
01004N036000,4
01004N038500,4
01004N039500,4
01004N042000,4
01004N042500,4
01004N043500,4
01004N045000,5
01004N050000,4
01004N051000,4
01004N051500,4
01004N052000,4
01004N053500,4
01004N054000,4
01004N054500,4
01004N056000,4
01004N057000,4
01004N058000,4
01004N058500,4
01004N060500,4
01004N062500,4
01004N063500,4
01004N064000,4
01004N065000,4
01004N066000,4
01004N066500,4
01004N067000,4
01004N068000,4
01004N069000,4
01004N069500,4
01004N070500,4
01004N071000,4
01004N071500,4
01004N073000,4
01004N073500,4
01004N074000,4
01004N074500,4
01004N075000,4
01004N075500,4
01004N076000,4
01004N076500,4
01004N077000,4
01004N077500,4
01004N078000,4
01004N078500,4
01004N079000,4
01004N079500,4
01004N080000,4
01004N080500,4
01004N081500,4
01004N082000,4
01004N083000,4
01004N085500,4
01004N086500,4
01004N087000,4
01004N088000,4
01004N088600,4
01004N089500,4
01004N090000,4
01004N091000,4
01004N092000,4
01004N093000,4
01004N095500,4
01004N096000,4
01004N096500,4
01004N099000,4
01004N099500,4
01004N100000,4
01004N100500,4
01004N101000,4
01004N101500,4
01004N102000,4
01004N103000,4
01004N104000,4
01004N104500,4
01004N105000,4
01004N106200,4
01004N106500,4
01004N110500,4
01004N112000,4
01004N112500,4
01004N113500,4
01004N114500,4
01004N116000,4
01005N000500,4
01005N001500,4
01005N002000,4
01005N004000,4
01005N006000,4
01005N006500,4
01005N007000,4
01005N008000,4
01005N010100,4
01005N011500,4
01005N013500,4
01005N014000,4
01005N014500,4
01005N015000,4
01005N015500,4
01005N016500,4
01005N017000,4
01005N020000,4
01005N020500,4
01005N021500,5
01005N023500,4
01005N024000,4
01005N025000,4
01005N025500,4
01005N026000,4
01005N026500,4
01005N030000,4
01005N032000,4
01005N038000,4
01005N041500,4
01005N042500,4
01005N044000,4
01005N044500,4
01005N047100,4
01005N050500,5
01005N052000,4
01005N053000,4
01005N053500,4
01005N054000,4
01005N057000,4
01005N059000,4
01005N060000,4
01005N061000,4
01005N061500,4
01005N064000,4
01005N065000,4
01005N068000,4
01005N069000,4
01005N069500,4
01005N071000,4
01005N073500,4
01005N074000,4
01005N074500,4
01005N077600,5
01005N093500,4
01005N094000,4
01005N094500,4
01005N095000,4
01005N036000,4
01005N105000,4
01005N115000,4
01005N116000,4
01005N118000,4
01005N118500,4
01005N119000,4
01005N119500,4
01005N121500,4
01005N122000,4
01005N122500,4
01005N123000,4
01005N123500,4
01005N124000,4
01005N124500,4
01005N125000,4
01005N126500,4
01005N127000,4
01005N128000,4
01005N128500,4
01005N129000,4
01005N129500,4
01005N130500,4
01005N131000,4
01005N132500,4
01005N133000,4
01005N134000,4
01005N135000,4
01005N136500,4
01005N137000,4
01005N138000,4
01005N138500,4
01005N139000,4
01005N140000,4
01005N142000,4
01005N143000,4
01005N143500,4
01005N144500,4
01005N145500,4
01005N146000,4
01005N146500,4
01005N147500,4
01005N160000,4
01005N161000,4
01005N161500,4
01005N162000,4
01005N162500,4
01005N163000,4
01005N163500,4
01005N164000,4
01005N164500,4
01005N165000,4
01005N165500,4
01005N166000,4
01005N167500,4
01006N000500,4
01006N001000,4
01006N002500,4
01006N005000,4
01006N007000,4
01006N007500,4
01006N008500,4
01006N011000,4
01006N013500,4
01006N014000,4
01006N015000,5
01006N015200,4
01006N020000,4
01006N021000,4
01006N022500,4
01006N024500,4
01006N025700,4
01006N027000,4
01006N028000,4
01006N029000,4
01006N030500,4
01006N031000,4
01006N031500,5
01006N032500,4
01006N035000,4
01006N036000,4
01006N036500,4
01006N037500,4
01006N039500,4
01006N040000,5
01006N045000,4
01006N046000,4
01006N047500,4
01006N048000,4
01006N048500,4
01006N049500,4
01006N050000,4
01006N051000,4
01006N052000,4
01006N053000,4
01006N053500,4
01006N056000,4
01006N057000,5
01006N057500,4
01006N058500,4
01006N059500,4
01006N061000,4
01006N062000,4
01006N064000,4
01006N065000,4
01006N066000,4
01006N068000,4
01006N070000,4
01006N070500,4
01006N071000,4
01006N072000,4
01006N072500,4
01006N073000,4
01006N073500,4
01006N074500,4
01006N075000,4
01006N075500,4
01006N076000,4
01006N077000,4
01006N077500,4
01006N078500,4
01006N083000,4
01006N083500,4
01006N084000,4
01006N084500,4
01006N085000,4
01006N085500,4
